Customer ID,Billing Start Date,Billing End Date,Previous Meter Reading,Current Meter Reading,Usage (kWh),Total Charge
1003,2023-03-01,2023-03-31,1640,1968,328,49.2
1003,2023-04-01,2023-05-01,1968,2370,402,60.3
1003,2023-05-01,2023-05-31,2370,2596,226,33.9
1003,2023-06-01,2023-07-01,2596,2835,239,35.85
1003,2023-07-01,2023-07-31,2835,3266,431,64.65
1003,2023-08-01,2023-08-31,3266,3481,215,32.25
1003,2023-09-01,2023-10-01,3481,3600,119,17.85
1003,2023-10-01,2023-10-31,3600,3692,92,13.8
1003,2023-11-01,2023-12-01,3692,3809,117,17.55
1003,2023-12-01,2023-12-31,3809,4278,469,70.35
1004,2023-01-01,2023-01-31,1505,1775,270,40.5
1004,2023-02-01,2023-03-03,1775,1971,196,29.4
1004,2023-03-01,2023-03-31,1971,2406,435,65.25
1004,2023-04-01,2023-05-01,2406,2627,221,33.15
1004,2023-05-01,2023-05-31,2627,2737,110,16.5
1004,2023-06-01,2023-07-01,2737,3204,467,70.05
1004,2023-07-01,2023-07-31,3204,3484,280,42.0
1004,2023-08-01,2023-08-31,3484,3546,62,9.3
1004,2023-09-01,2023-10-01,3546,3638,92,13.8
1004,2023-10-01,2023-10-31,3638,4123,485,72.75
1004,2023-11-01,2023-12-01,4123,4490,367,55.05
1004,2023-12-01,2023-12-31,4490,4606,116,17.4
1005,2023-01-01,2023-01-31,4370,4447,77,11.55
1005,2023-02-01,2023-03-03,4447,4798,351,52.65
1005,2023-03-01,2023-03-31,4798,4892,94,14.1
1005,2023-04-01,2023-05-01,4892,5106,214,32.1
1005,2023-05-01,2023-05-31,5106,5394,288,43.2
1005,2023-06-01,2023-07-01,5394,5755,361,54.15
1005,2023-07-01,2023-07-31,5755,6077,322,48.3
1005,2023-08-01,2023-08-31,6077,6514,437,65.55
1005,2023-09-01,2023-10-01,6514,6674,160,24.0
1005,2023-10-01,2023-10-31,6674,6844,170,25.5
1005,2023-11-01,2023-12-01,6844,7067,223,33.45
1005,2023-12-01,2023-12-31,7067,7542,475,71.25
1006,2023-01-01,2023-01-31,1654,2136,482,72.3
1006,2023-02-01,2023-03-03,2136,2456,320,48.0
1006,2023-03-01,2023-03-31,2456,2820,364,54.6
1006,2023-04-01,2023-05-01,2820,3149,329,49.35
1006,2023-05-01,2023-05-31,3149,3218,69,10.35
1006,2023-06-01,2023-07-01,3218,3512,294,44.1
1006,2023-07-01,2023-07-31,3512,3856,344,51.6
1006,2023-08-01,2023-08-31,3856,3943,87,13.05
1006,2023-09-01,2023-10-01,3943,4433,490,73.5
1006,2023-10-01,2023-10-31,4433,4542,109,16.35
1006,2023-11-01,2023-12-01,4542,4984,442,66.3
1006,2023-12-01,2023-12-31,4984,5053,69,10.35
1007,2023-01-01,2023-01-31,2094,2339,245,36.75
1007,2023-02-01,2023-03-03,2339,2419,80,12.0
1007,2023-03-01,2023-03-31,2419,2908,489,73.35
1007,2023-04-01,2023-05-01,2908,3037,129,19.35
1007,2023-05-01,2023-05-31,3037,3125,88,13.2
1007,2023-06-01,2023-07-01,3125,3404,279,41.85
1007,2023-07-01,2023-07-31,3404,3601,197,29.55
1007,2023-08-01,2023-08-31,3601,4084,483,72.45
1007,2023-09-01,2023-10-01,4084,4486,402,60.3
1007,2023-10-01,2023-10-31,4486,4817,331,49.65
1007,2023-11-01,2023-12-01,4817,4886,69,10.35
1007,2023-12-01,2023-12-31,4886,5283,397,59.55
1008,2023-01-01,2023-01-31,2524,2822,298,44.7
1008,2023-02-01,2023-03-03,2822,2886,64,9.6
1008,2023-03-01,2023-03-31,2886,3219,333,49.95
1008,2023-04-01,2023-05-01,3219,3372,153,22.95
1008,2023-05-01,2023-05-31,3372,3868,496,74.4
1008,2023-06-01,2023-07-01,3868,4130,262,39.3
1008,2023-07-01,2023-07-31,4130,4285,155,23.25
1008,2023-08-01,2023-08-31,4285,4446,161,24.15
1008,2023-09-01,2023-10-01,4446,4798,352,52.8
1008,2023-10-01,2023-10-31,4798,4897,99,14.85
1008,2023-11-01,2023-12-01,4897,5088,191,28.65
1008,2023-12-01,2023-12-31,5088,5558,470,70.5
1009,2023-01-01,2023-01-31,3430,3589,159,23.85
1009,2023-02-01,2023-03-03,3589,4067,478,71.7
1009,2023-03-01,2023-03-31,4067,4478,411,61.65
1009,2023-04-01,2023-05-01,4478,4583,105,15.75
1009,2023-05-01,2023-05-31,4583,4935,352,52.8
1009,2023-06-01,2023-07-01,4935,5257,322,48.3
1009,2023-07-01,2023-07-31,5257,5331,74,11.1
1009,2023-08-01,2023-08-31,5331,5770,439,65.85
1009,2023-09-01,2023-10-01,5770,6059,289,43.35
1009,2023-10-01,2023-10-31,6059,6370,311,46.65
1009,2023-11-01,2023-12-01,6370,6866,496,74.4
1009,2023-12-01,2023-12-31,6866,7357,491,73.65
1010,2023-01-01,2023-01-31,1618,1850,232,34.8
1010,2023-02-01,2023-03-03,1850,2153,303,45.45
1010,2023-03-01,2023-03-31,2153,2601,448,67.2
1010,2023-04-01,2023-05-01,2601,2821,220,33.0
1010,2023-05-01,2023-05-31,2821,3045,224,33.6
1010,2023-06-01,2023-07-01,3045,3283,238,35.7
1010,2023-07-01,2023-07-31,3283,3654,371,55.65
1010,2023-08-01,2023-08-31,3654,4153,499,74.85
1010,2023-09-01,2023-10-01,4153,4627,474,71.1
1010,2023-10-01,2023-10-31,4627,4795,168,25.2
1010,2023-11-01,2023-12-01,4795,4987,192,28.8
1010,2023-12-01,2023-12-31,4987,5377,390,58.5
1011,2023-01-01,2023-01-31,2430,2886,456,68.4
1011,2023-02-01,2023-03-03,2886,3138,252,37.8
1011,2023-03-01,2023-03-31,3138,3590,452,67.8
1011,2023-04-01,2023-05-01,3590,3705,115,17.25
1011,2023-05-01,2023-05-31,3705,3864,159,23.85
1011,2023-06-01,2023-07-01,3864,4102,238,35.7
1011,2023-07-01,2023-07-31,4102,4493,391,58.65
1011,2023-08-01,2023-08-31,4493,4564,71,10.65
1011,2023-09-01,2023-10-01,4564,4945,381,57.15
1011,2023-10-01,2023-10-31,4945,5032,87,13.05
1011,2023-11-01,2023-12-01,5032,5287,255,38.25
1011,2023-12-01,2023-12-31,5287,5763,476,71.4
1012,2023-01-01,2023-01-31,3147,3442,295,44.25
1012,2023-02-01,2023-03-03,3442,3710,268,40.2
1012,2023-03-01,2023-03-31,3710,4132,422,63.3
1012,2023-04-01,2023-05-01,4132,4493,361,54.15
1012,2023-05-01,2023-05-31,4493,4621,128,19.2
1012,2023-06-01,2023-07-01,4621,4954,333,49.95
1012,2023-07-01,2023-07-31,4954,5252,298,44.7
1012,2023-08-01,2023-08-31,5252,5729,477,71.55
1012,2023-09-01,2023-10-01,5729,6145,416,62.4
1012,2023-10-01,2023-10-31,6145,6533,388,58.2
1012,2023-11-01,2023-12-01,6533,6915,382,57.3
1012,2023-12-01,2023-12-31,6915,7241,326,48.9
1013,2023-01-01,2023-01-31,4566,4616,50,7.5
1013,2023-02-01,2023-03-03,4616,4837,221,33.15
1013,2023-03-01,2023-03-31,4837,5332,495,74.25
1013,2023-04-01,2023-05-01,5332,5388,56,8.4
1013,2023-05-01,2023-05-31,5388,5841,453,67.95
1013,2023-06-01,2023-07-01,5841,6027,186,27.9
1013,2023-07-01,2023-07-31,6027,6093,66,9.9
1013,2023-08-01,2023-08-31,6093,6512,419,62.85
1013,2023-09-01,2023-10-01,6512,6562,50,7.5
1013,2023-10-01,2023-10-31,6562,7045,483,72.45
1013,2023-11-01,2023-12-01,7045,7461,416,62.4
1013,2023-12-01,2023-12-31,7461,7847,386,57.9
1014,2023-01-01,2023-01-31,3362,3715,353,52.95
1014,2023-02-01,2023-03-03,3715,3957,242,36.3
1014,2023-03-01,2023-03-31,3957,4233,276,41.4
1014,2023-04-01,2023-05-01,4233,4349,116,17.4
1014,2023-05-01,2023-05-31,4349,4653,304,45.6
1014,2023-06-01,2023-07-01,4653,4815,162,24.3
1014,2023-07-01,2023-07-31,4815,4867,52,7.8
1014,2023-08-01,2023-08-31,4867,5101,234,35.1
1014,2023-09-01,2023-10-01,5101,5263,162,24.3
1014,2023-10-01,2023-10-31,5263,5534,271,40.65
1014,2023-11-01,2023-12-01,5534,5845,311,46.65
1014,2023-12-01,2023-12-31,5845,6215,370,55.5
1015,2023-01-01,2023-01-31,1628,2121,493,73.95
1015,2023-02-01,2023-03-03,2121,2490,369,55.35
1015,2023-03-01,2023-03-31,2490,2824,334,50.1
1015,2023-04-01,2023-05-01,2824,3031,207,31.05
1015,2023-05-01,2023-05-31,3031,3487,456,68.4
1015,2023-06-01,2023-07-01,3487,3786,299,44.85
1015,2023-07-01,2023-07-31,3786,4276,490,73.5
1015,2023-08-01,2023-08-31,4276,4385,109,16.35
1015,2023-09-01,2023-10-01,4385,4511,126,18.9
1015,2023-10-01,2023-10-31,4511,4976,465,69.75
1015,2023-11-01,2023-12-01,4976,5314,338,50.7
1015,2023-12-01,2023-12-31,5314,5568,254,38.1
1016,2023-01-01,2023-01-31,3618,3789,171,25.65
1016,2023-02-01,2023-03-03,3789,4031,242,36.3
1016,2023-03-01,2023-03-31,4031,4324,293,43.95
1016,2023-04-01,2023-05-01,4324,4753,429,64.35
1016,2023-05-01,2023-05-31,4753,4985,232,34.8
1016,2023-06-01,2023-07-01,4985,5210,225,33.75
1016,2023-07-01,2023-07-31,5210,5548,338,50.7
1016,2023-08-01,2023-08-31,5548,5906,358,53.7
1016,2023-09-01,2023-10-01,5906,6293,387,58.05
1016,2023-10-01,2023-10-31,6293,6524,231,34.65
1016,2023-11-01,2023-12-01,6524,6843,319,47.85
1016,2023-12-01,2023-12-31,6843,7335,492,73.8
1017,2023-01-01,2023-01-31,3604,3751,147,22.05
1017,2023-02-01,2023-03-03,3751,3998,247,37.05
1017,2023-03-01,2023-03-31,3998,4336,338,50.7
1017,2023-04-01,2023-05-01,4336,4504,168,25.2
1017,2023-05-01,2023-05-31,4504,4605,101,15.15
1017,2023-06-01,2023-07-01,4605,4990,385,57.75
1017,2023-07-01,2023-07-31,4990,5398,408,61.2
1017,2023-08-01,2023-08-31,5398,5842,444,66.6
1017,2023-09-01,2023-10-01,5842,6159,317,47.55
1017,2023-10-01,2023-10-31,6159,6351,192,28.8
1017,2023-11-01,2023-12-01,6351,6758,407,61.05
1017,2023-12-01,2023-12-31,6758,6979,221,33.15
1018,2023-01-01,2023-01-31,2095,2262,167,25.05
1018,2023-02-01,2023-03-03,2262,2424,162,24.3
1018,2023-03-01,2023-03-31,2424,2546,122,18.3
1018,2023-04-01,2023-05-01,2546,2756,210,31.5
1018,2023-05-01,2023-05-31,2756,3205,449,67.35
1018,2023-06-01,2023-07-01,3205,3512,307,46.05
1018,2023-07-01,2023-07-31,3512,3852,340,51.0
1018,2023-08-01,2023-08-31,3852,3983,131,19.65
1018,2023-09-01,2023-10-01,3983,4461,478,71.7
1018,2023-10-01,2023-10-31,4461,4884,423,63.45
1018,2023-11-01,2023-12-01,4884,5343,459,68.85
1018,2023-12-01,2023-12-31,5343,5827,484,72.6
1019,2023-01-01,2023-01-31,1287,1712,425,63.75
1019,2023-02-01,2023-03-03,1712,2064,352,52.8
1019,2023-03-01,2023-03-31,2064,2340,276,41.4
1019,2023-04-01,2023-05-01,2340,2397,57,8.55
1019,2023-05-01,2023-05-31,2397,2514,117,17.55
1019,2023-06-01,2023-07-01,2514,2777,263,39.45
1019,2023-07-01,2023-07-31,2777,2875,98,14.7
1019,2023-08-01,2023-08-31,2875,2932,57,8.55
1019,2023-09-01,2023-10-01,2932,3005,73,10.95
1019,2023-10-01,2023-10-31,3005,3111,106,15.9
1019,2023-11-01,2023-12-01,3111,3585,474,71.1
1019,2023-12-01,2023-12-31,3585,3902,317,47.55
1020,2023-01-01,2023-01-31,2007,2461,454,68.1
1020,2023-02-01,2023-03-03,2461,2565,104,15.6
1020,2023-03-01,2023-03-31,2565,2859,294,44.1
1020,2023-04-01,2023-05-01,2859,3177,318,47.7
1020,2023-05-01,2023-05-31,3177,3241,64,9.6
1020,2023-06-01,2023-07-01,3241,3731,490,73.5
1020,2023-07-01,2023-07-31,3731,4030,299,44.85
1020,2023-08-01,2023-08-31,4030,4494,464,69.6
1020,2023-09-01,2023-10-01,4494,4698,204,30.6
1020,2023-10-01,2023-10-31,4698,5065,367,55.05
1020,2023-11-01,2023-12-01,5065,5441,376,56.4
1020,2023-12-01,2023-12-31,5441,5503,62,9.3
1021,2023-01-01,2023-01-31,4019,4423,404,60.6
1021,2023-02-01,2023-03-03,4423,4584,161,24.15
1021,2023-03-01,2023-03-31,4584,5001,417,62.55
1021,2023-04-01,2023-05-01,5001,5275,274,41.1
1021,2023-05-01,2023-05-31,5275,5417,142,21.3
1021,2023-06-01,2023-07-01,5417,5884,467,70.05
1021,2023-07-01,2023-07-31,5884,6025,141,21.15
1021,2023-08-01,2023-08-31,6025,6212,187,28.05
1021,2023-09-01,2023-10-01,6212,6359,147,22.05
1021,2023-10-01,2023-10-31,6359,6623,264,39.6
1021,2023-11-01,2023-12-01,6623,6948,325,48.75
1021,2023-12-01,2023-12-31,6948,7038,90,13.5
1022,2023-01-01,2023-01-31,1409,1677,268,40.2
1022,2023-02-01,2023-03-03,1677,2077,400,60.0
1022,2023-03-01,2023-03-31,2077,2280,203,30.45
1022,2023-04-01,2023-05-01,2280,2682,402,60.3
1022,2023-05-01,2023-05-31,2682,2742,60,9.0
1022,2023-06-01,2023-07-01,2742,3239,497,74.55
1022,2023-07-01,2023-07-31,3239,3423,184,27.6
1022,2023-08-01,2023-08-31,3423,3504,81,12.15
1022,2023-09-01,2023-10-01,3504,3626,122,18.3
1022,2023-10-01,2023-10-31,3626,4029,403,60.45
1022,2023-11-01,2023-12-01,4029,4244,215,32.25
1022,2023-12-01,2023-12-31,4244,4584,340,51.0
1023,2023-01-01,2023-01-31,3719,3878,159,23.85
1023,2023-02-01,2023-03-03,3878,4247,369,55.35
1023,2023-03-01,2023-03-31,4247,4394,147,22.05
1023,2023-04-01,2023-05-01,4394,4584,190,28.5
1023,2023-05-01,2023-05-31,4584,4648,64,9.6
1023,2023-06-01,2023-07-01,4648,4840,192,28.8
1023,2023-07-01,2023-07-31,4840,4964,124,18.6
1023,2023-08-01,2023-08-31,4964,5331,367,55.05
1023,2023-09-01,2023-10-01,5331,5789,458,68.7
1023,2023-10-01,2023-10-31,5789,6179,390,58.5
1023,2023-11-01,2023-12-01,6179,6487,308,46.2
1023,2023-12-01,2023-12-31,6487,6740,253,37.95
1024,2023-01-01,2023-01-31,4688,4848,160,24.0
1024,2023-02-01,2023-03-03,4848,5076,228,34.2
1024,2023-03-01,2023-03-31,5076,5555,479,71.85
1024,2023-04-01,2023-05-01,5555,5967,412,61.8
1024,2023-05-01,2023-05-31,5967,6452,485,72.75
1024,2023-06-01,2023-07-01,6452,6776,324,48.6
1024,2023-07-01,2023-07-31,6776,6967,191,28.65
1024,2023-08-01,2023-08-31,6967,7158,191,28.65
1024,2023-09-01,2023-10-01,7158,7535,377,56.55
1024,2023-10-01,2023-10-31,7535,7808,273,40.95
1024,2023-11-01,2023-12-01,7808,7956,148,22.2
1024,2023-12-01,2023-12-31,7956,8138,182,27.3
1025,2023-01-01,2023-01-31,2829,3094,265,39.75
1025,2023-02-01,2023-03-03,3094,3406,312,46.8
1025,2023-03-01,2023-03-31,3406,3505,99,14.85
1025,2023-04-01,2023-05-01,3505,3844,339,50.85
1025,2023-05-01,2023-05-31,3844,4309,465,69.75
1025,2023-06-01,2023-07-01,4309,4613,304,45.6
1025,2023-07-01,2023-07-31,4613,4980,367,55.05
1025,2023-08-01,2023-08-31,4980,5377,397,59.55
1025,2023-09-01,2023-10-01,5377,5793,416,62.4
1025,2023-10-01,2023-10-31,5793,5994,201,30.15
1025,2023-11-01,2023-12-01,5994,6088,94,14.1
1025,2023-12-01,2023-12-31,6088,6553,465,69.75
1026,2023-01-01,2023-01-31,1652,1966,314,47.1
1026,2023-02-01,2023-03-03,1966,2041,75,11.25
1026,2023-03-01,2023-03-31,2041,2174,133,19.95
1026,2023-04-01,2023-05-01,2174,2272,98,14.7
1026,2023-05-01,2023-05-31,2272,2341,69,10.35
1026,2023-06-01,2023-07-01,2341,2436,95,14.25
1026,2023-07-01,2023-07-31,2436,2918,482,72.3
1026,2023-08-01,2023-08-31,2918,3223,305,45.75
1026,2023-09-01,2023-10-01,3223,3612,389,58.35
1026,2023-10-01,2023-10-31,3612,3874,262,39.3
1026,2023-11-01,2023-12-01,3874,3963,89,13.35
1026,2023-12-01,2023-12-31,3963,4127,164,24.6
1027,2023-01-01,2023-01-31,2805,3012,207,31.05
1027,2023-02-01,2023-03-03,3012,3451,439,65.85
1027,2023-03-01,2023-03-31,3451,3664,213,31.95
1027,2023-04-01,2023-05-01,3664,3916,252,37.8
1027,2023-05-01,2023-05-31,3916,3967,51,7.65
1027,2023-06-01,2023-07-01,3967,4172,205,30.75
1027,2023-07-01,2023-07-31,4172,4496,324,48.6
1027,2023-08-01,2023-08-31,4496,4947,451,67.65
1027,2023-09-01,2023-10-01,4947,5327,380,57.0
1027,2023-10-01,2023-10-31,5327,5647,320,48.0
1027,2023-11-01,2023-12-01,5647,6017,370,55.5
1027,2023-12-01,2023-12-31,6017,6379,362,54.3
1028,2023-01-01,2023-01-31,4197,4665,468,70.2
1028,2023-02-01,2023-03-03,4665,4856,191,28.65
1028,2023-03-01,2023-03-31,4856,5199,343,51.45
1028,2023-04-01,2023-05-01,5199,5533,334,50.1
1028,2023-05-01,2023-05-31,5533,5902,369,55.35
1028,2023-06-01,2023-07-01,5902,6234,332,49.8
1028,2023-07-01,2023-07-31,6234,6570,336,50.4
1028,2023-08-01,2023-08-31,6570,6712,142,21.3
1028,2023-09-01,2023-10-01,6712,6981,269,40.35
1028,2023-10-01,2023-10-31,6981,7466,485,72.75
1028,2023-11-01,2023-12-01,7466,7545,79,11.85
1028,2023-12-01,2023-12-31,7545,7711,166,24.9
1029,2023-01-01,2023-01-31,3116,3281,165,24.75
1029,2023-02-01,2023-03-03,3281,3550,269,40.35
1029,2023-03-01,2023-03-31,3550,3721,171,25.65
1029,2023-04-01,2023-05-01,3721,4150,429,64.35
1029,2023-05-01,2023-05-31,4150,4541,391,58.65
1029,2023-06-01,2023-07-01,4541,5030,489,73.35
1029,2023-07-01,2023-07-31,5030,5216,186,27.9
1029,2023-08-01,2023-08-31,5216,5339,123,18.45
1029,2023-09-01,2023-10-01,5339,5426,87,13.05
1029,2023-10-01,2023-10-31,5426,5477,51,7.65
1029,2023-11-01,2023-12-01,5477,5954,477,71.55
1029,2023-12-01,2023-12-31,5954,6181,227,34.05
1030,2023-01-01,2023-01-31,3795,4142,347,52.05
1030,2023-02-01,2023-03-03,4142,4378,236,35.4
1030,2023-03-01,2023-03-31,4378,4646,268,40.2
1030,2023-04-01,2023-05-01,4646,4849,203,30.45
1030,2023-05-01,2023-05-31,4849,5050,201,30.15
1030,2023-06-01,2023-07-01,5050,5333,283,42.45
1030,2023-07-01,2023-07-31,5333,5753,420,63.0
1030,2023-08-01,2023-08-31,5753,6061,308,46.2
1030,2023-09-01,2023-10-01,6061,6245,184,27.6
1030,2023-10-01,2023-10-31,6245,6578,333,49.95
1030,2023-11-01,2023-12-01,6578,6647,69,10.35
1030,2023-12-01,2023-12-31,6647,6798,151,22.65
1031,2023-01-01,2023-01-31,1551,1889,338,50.7
1031,2023-02-01,2023-03-03,1889,2018,129,19.35
1031,2023-03-01,2023-03-31,2018,2499,481,72.15
1031,2023-04-01,2023-05-01,2499,2611,112,16.8
1031,2023-05-01,2023-05-31,2611,2732,121,18.15
1031,2023-06-01,2023-07-01,2732,3205,473,70.95
1031,2023-07-01,2023-07-31,3205,3346,141,21.15
1031,2023-08-01,2023-08-31,3346,3543,197,29.55
1031,2023-09-01,2023-10-01,3543,3737,194,29.1
1031,2023-10-01,2023-10-31,3737,4099,362,54.3
1031,2023-11-01,2023-12-01,4099,4469,370,55.5
1031,2023-12-01,2023-12-31,4469,4546,77,11.55
1032,2023-01-01,2023-01-31,1286,1773,487,73.05
1032,2023-02-01,2023-03-03,1773,2232,459,68.85
1032,2023-03-01,2023-03-31,2232,2680,448,67.2
1032,2023-04-01,2023-05-01,2680,2937,257,38.55
1032,2023-05-01,2023-05-31,2937,3357,420,63.0
1032,2023-06-01,2023-07-01,3357,3717,360,54.0
1032,2023-07-01,2023-07-31,3717,4044,327,49.05
1032,2023-08-01,2023-08-31,4044,4310,266,39.9
1032,2023-09-01,2023-10-01,4310,4562,252,37.8
1032,2023-10-01,2023-10-31,4562,5024,462,69.3
1032,2023-11-01,2023-12-01,5024,5172,148,22.2
1032,2023-12-01,2023-12-31,5172,5257,85,12.75
1033,2023-01-01,2023-01-31,1060,1301,241,36.15
1033,2023-02-01,2023-03-03,1301,1372,71,10.65
1033,2023-03-01,2023-03-31,1372,1753,381,57.15
1033,2023-04-01,2023-05-01,1753,2112,359,53.85
1033,2023-05-01,2023-05-31,2112,2466,354,53.1
1033,2023-06-01,2023-07-01,2466,2642,176,26.4
1033,2023-07-01,2023-07-31,2642,2990,348,52.2
1033,2023-08-01,2023-08-31,2990,3162,172,25.8
1033,2023-09-01,2023-10-01,3162,3398,236,35.4
1033,2023-10-01,2023-10-31,3398,3787,389,58.35
1033,2023-11-01,2023-12-01,3787,4008,221,33.15
1033,2023-12-01,2023-12-31,4008,4423,415,62.25
1034,2023-01-01,2023-01-31,1679,2001,322,48.3
1034,2023-02-01,2023-03-03,2001,2291,290,43.5
1034,2023-03-01,2023-03-31,2291,2620,329,49.35
1034,2023-04-01,2023-05-01,2620,3067,447,67.05
1034,2023-05-01,2023-05-31,3067,3290,223,33.45
1034,2023-06-01,2023-07-01,3290,3769,479,71.85
1034,2023-07-01,2023-07-31,3769,4219,450,67.5
1034,2023-08-01,2023-08-31,4219,4387,168,25.2
1034,2023-09-01,2023-10-01,4387,4454,67,10.05
1034,2023-10-01,2023-10-31,4454,4601,147,22.05
1034,2023-11-01,2023-12-01,4601,4716,115,17.25
1034,2023-12-01,2023-12-31,4716,5101,385,57.75
1035,2023-01-01,2023-01-31,1552,1650,98,14.7
1035,2023-02-01,2023-03-03,1650,1894,244,36.6
1035,2023-03-01,2023-03-31,1894,1999,105,15.75
1035,2023-04-01,2023-05-01,1999,2338,339,50.85
1035,2023-05-01,2023-05-31,2338,2388,50,7.5
1035,2023-06-01,2023-07-01,2388,2881,493,73.95
1035,2023-07-01,2023-07-31,2881,3346,465,69.75
1035,2023-08-01,2023-08-31,3346,3558,212,31.8
1035,2023-09-01,2023-10-01,3558,3692,134,20.1
1035,2023-10-01,2023-10-31,3692,3792,100,15.0
1035,2023-11-01,2023-12-01,3792,3934,142,21.3
1035,2023-12-01,2023-12-31,3934,4377,443,66.45
1036,2023-01-01,2023-01-31,1654,1811,157,23.55
1036,2023-02-01,2023-03-03,1811,1901,90,13.5
1036,2023-03-01,2023-03-31,1901,2041,140,21.0
1036,2023-04-01,2023-05-01,2041,2438,397,59.55
1036,2023-05-01,2023-05-31,2438,2646,208,31.2
1036,2023-06-01,2023-07-01,2646,3057,411,61.65
1036,2023-07-01,2023-07-31,3057,3234,177,26.55
1036,2023-08-01,2023-08-31,3234,3456,222,33.3
1036,2023-09-01,2023-10-01,3456,3781,325,48.75
1036,2023-10-01,2023-10-31,3781,4022,241,36.15
1036,2023-11-01,2023-12-01,4022,4111,89,13.35
1036,2023-12-01,2023-12-31,4111,4384,273,40.95
1037,2023-01-01,2023-01-31,4546,4767,221,33.15
1037,2023-02-01,2023-03-03,4767,4842,75,11.25
1037,2023-03-01,2023-03-31,4842,5157,315,47.25
1037,2023-04-01,2023-05-01,5157,5413,256,38.4
1037,2023-05-01,2023-05-31,5413,5864,451,67.65
1037,2023-06-01,2023-07-01,5864,6011,147,22.05
1037,2023-07-01,2023-07-31,6011,6406,395,59.25
1037,2023-08-01,2023-08-31,6406,6600,194,29.1
1037,2023-09-01,2023-10-01,6600,6845,245,36.75
1037,2023-10-01,2023-10-31,6845,7144,299,44.85
1037,2023-11-01,2023-12-01,7144,7320,176,26.4
1037,2023-12-01,2023-12-31,7320,7816,496,74.4
1038,2023-01-01,2023-01-31,4275,4385,110,16.5
1038,2023-02-01,2023-03-03,4385,4845,460,69.0
1038,2023-03-01,2023-03-31,4845,5239,394,59.1
1038,2023-04-01,2023-05-01,5239,5658,419,62.85
1038,2023-05-01,2023-05-31,5658,5835,177,26.55
1038,2023-06-01,2023-07-01,5835,6012,177,26.55
1038,2023-07-01,2023-07-31,6012,6264,252,37.8
1038,2023-08-01,2023-08-31,6264,6439,175,26.25
1038,2023-09-01,2023-10-01,6439,6791,352,52.8
1038,2023-10-01,2023-10-31,6791,7007,216,32.4
1038,2023-11-01,2023-12-01,7007,7438,431,64.65
1038,2023-12-01,2023-12-31,7438,7686,248,37.2
1039,2023-01-01,2023-01-31,2434,2544,110,16.5
1039,2023-02-01,2023-03-03,2544,2708,164,24.6
1039,2023-03-01,2023-03-31,2708,3015,307,46.05
1039,2023-04-01,2023-05-01,3015,3090,75,11.25
1039,2023-05-01,2023-05-31,3090,3261,171,25.65
1039,2023-06-01,2023-07-01,3261,3454,193,28.95
1039,2023-07-01,2023-07-31,3454,3882,428,64.2
1039,2023-08-01,2023-08-31,3882,4214,332,49.8
1039,2023-09-01,2023-10-01,4214,4382,168,25.2
1039,2023-10-01,2023-10-31,4382,4674,292,43.8
1039,2023-11-01,2023-12-01,4674,5060,386,57.9
